date,gas_price
2015-12-07,2.729
2015-12-14,2.706
2015-12-21,2.789
2015-12-28,2.879
2016-01-04,2.93
2016-01-11,2.897
2016-01-18,2.767
2016-01-25,2.697
2016-02-01,2.605
2016-02-08,2.539
2016-02-15,2.431
2016-02-22,2.347
2016-02-29,2.461
2016-03-07,2.495
2016-03-14,2.651
2016-03-21,2.734
2016-03-28,2.835
2016-04-04,2.829
2016-04-11,2.803
2016-04-18,2.825
2016-04-25,2.83
2016-05-02,2.864
2016-05-09,2.842
2016-05-16,2.844
2016-05-23,2.86
